script	owner	category	callers	status
scripts/README.md	Engineering	utility	docs/REPOSITORY_STRUCTURE_AND_CLEANUP_PLAN.md	active
scripts/REGISTRY.md	Engineering	utility	none-found	active
scripts/__init__.py	Engineering	utility	none-found	active
scripts/audit/frontend_eternal_stress_audit.py	Security/Ops	audit-security	none-found	active
scripts/audit/ui_ux_browser_audit.py	Security/Ops	audit-security	none-found	active
scripts/audit_chain_health_check.py	Security/Ops	audit-security	tests/audit/test_chain_integrity.py,.claude/memory/guru_violations.md	active
scripts/audit_investigate.py	Security/Ops	audit-security	README.md,docs/handover/SHOW_READINESS_2026-04-30.md,docs/handover/OPERATIONS_RUNBOOK.md,docs/DOCS_SYNC_ISSUES_2026-04-29.md,docs/architecture/OPERATIONS_RUNBOOK.md,tests/audit/test_chain_integrity.py	active
scripts/audit_rebuild.py	Security/Ops	audit-security	docs/operations/PHASE7_SOVEREIGN_ACTIVATION_RUNBOOK.md,docs/specs/SPRINT_PHASE2_2026-04-28.md,docs/adr/ADR-006-audit-chain-auto-repair-lineage-break.md,docs/security/AUDIT_CHAIN_INVESTIGATION.md,docs/runbooks/PRODUCTION_LAUNCH_RISK_REGISTER.md,.claude/CURRENT_STATE.md	active
scripts/backup_db.sh	Ops	ops-deploy	docs/DOCS_SYNC_ISSUES_2026-04-29.md	compatibility-wrapper
scripts/backup_nrg.sh	Ops	ops-deploy	docs/handover/OPERATIONS_RUNBOOK.md	active
scripts/batch4_data_sql_schema_audit.py	Security/Ops	audit-security	none-found	active
scripts/benchmark_dhairya_prompts.py	Backend/Ops	performance-load	none-found	active
scripts/benchmark_dhairya_queries.py	Backend/Ops	performance-load	docs/DOCS_SYNC_ISSUES_2026-04-29.md,docs/handover/DATA_INTAKE_PROTOCOL.md,docs/audits/V4_ETERNAL_FINAL_AUDIT.md,docs/DATA_INTAKE_PROTOCOL.md,docs/handover/OPERATIONS_RUNBOOK.md	active
scripts/benchmark_queries.py	Backend/Ops	performance-load	none-found	active
scripts/bootstrap.sh	Ops	ops-deploy	none-found	active
scripts/build_before_after_gallery.mjs	Engineering	utility	docs/specs/UI_UX_OVERHAUL_2026-04-28.md	active
scripts/build_embeddings.py	Data/RAG	ingestion-vector	none-found	review-before-moving
scripts/build_qdrant_index.py	Data/RAG	ingestion-vector	docs/operations/PHASE7_SOVEREIGN_ACTIVATION_RUNBOOK.md	active
scripts/capture_killer_query_evidence.py	Engineering	utility	README.md	active
scripts/chain_seal_attestation.py	Quality	verification	docs/uat/UAT_SCRIPT_T3_INDUSTRY.md,docs/uat/UAT_SCRIPT_T2_GOVERNMENT.md,docs/uat/UAT_SCRIPT_T1_RESEARCHER.md	active
scripts/check-env.py	Quality	verification	none-found	active
scripts/check_docs_links.py	Documentation/Compliance	docs-compliance	none-found	active
scripts/check_jwt_secret_config.py	Security/Ops	audit-security	.github/workflows/ci.yml	active
scripts/check_pydantic_migration_guard.py	Data	schema-migration	docs/engineering/PYDANTIC_V2_MIGRATION_PLAN_2026-04-28.md,docs/specs/SPRINT_PHASE2_2026-04-28.md,.github/workflows/ci.yml	active
scripts/check_schema_sync.py	Data	schema-migration	none-found	active
scripts/check_slow_test_markers.py	Backend/Ops	performance-load	none-found	active
scripts/check_test_runtime_budget.py	Quality	verification	.github/workflows/ci.yml	active
scripts/check_workflow_links.sh	Ops	ops-deploy	docs/specs/NRG_ETERNAL_MASTER_AGENT_PROMPT.md,docs/specs/MASTER_CLOSURE_2026-04-26.md	active
scripts/compliance/compile_final_docs.py	Documentation/Compliance	docs-compliance	none-found	active
scripts/compliance/run_dpdp_assessment.py	Engineering	utility	none-found	active
scripts/data_integrity_check.sql	Data	schema-migration	none-found	active
scripts/data_quality_scorecard.py	Engineering	utility	docs/DOCS_SYNC_ISSUES_2026-04-29.md,docs/handover/DATA_INTAKE_PROTOCOL.md,.claude/rules/data_quality.md	review-before-moving
scripts/deploy.py	Ops	ops-deploy	none-found	active
scripts/deploy.sh	Ops	ops-deploy	none-found	compatibility-wrapper
scripts/deployment_gate.py	Ops	ops-deploy	none-found	active
scripts/docker-entrypoint.sh	Ops	ops-deploy	none-found	active
scripts/eternal_seal_execute.py	Engineering	utility	none-found	active
scripts/expand_database.py	Engineering	utility	none-found	review-before-moving
scripts/export_training_data.py	Engineering	utility	none-found	active
scripts/forbidden_vocab_check.sh	Ops	ops-deploy	docs/specs/NRG_ETERNAL_MASTER_AGENT_PROMPT.md,docs/specs/MASTER_EXECUTION_PLAN_2026-04-25.md,docs/specs/DISPATCH_2026-04-28.md,docs/specs/MASTER_CLOSURE_2026-04-26.md,docs/specs/SPRINT_PHASE2_2026-04-28.md,docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md	active
scripts/founder_laptop_seed.py	Data	seed-data	none-found	review-before-moving
scripts/generate_jwt_keys.sh	Security/Ops	audit-security	docs/specs/CRITICAL_PATH_DISPATCH_FINAL_2026-04-28.md,docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md	active
scripts/health_check.py	Quality	verification	none-found	active
scripts/ingest_documents.py	Data/RAG	ingestion-vector	tests/observability/test_metrics.py	active
scripts/ingest_nrg_db.py	Data/RAG	ingestion-vector	README.md,.agents/skills/data-engineering/SKILL.md	active
scripts/ingest_qdrant.py	Data/RAG	ingestion-vector	README.md,docs/handover/OPERATIONS_RUNBOOK.md,docs/DOCS_SYNC_ISSUES_2026-04-29.md,.agents/skills/data-engineering/SKILL.md	active
scripts/ingestion/batch_embedder.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/chunk_pipeline.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/db_to_qdrant.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/embedding_config.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/metadata_enricher.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/qdrant_config.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/qdrant_loader.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/text_preprocessor.py	Data/RAG	ingestion-vector	none-found	active
scripts/ingestion/vector_quality.py	Data/RAG	ingestion-vector	none-found	active
scripts/init_db.py	Engineering	utility	none-found	active
scripts/init_qdrant.py	Data/RAG	ingestion-vector	none-found	active
scripts/insert_test_data.py	Quality	verification	tests/scripts/test_insert_test_data_qdrant.py	active
scripts/issue_test_jwt.py	Security/Ops	audit-security	docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md	active
scripts/llm_cost_report.py	Engineering	utility	none-found	active
scripts/load_test.py	Backend/Ops	performance-load	docs/security/IITGN_CERTIFICATION.md	review-before-moving
scripts/load_test_100users.py	Backend/Ops	performance-load	docs/specs/DISPATCH_2026-04-28.md,docs/specs/MASTER_CLOSURE_2026-04-26.md	review-before-moving
scripts/migrate_data_to_postgresql.py	Data	schema-migration	docs/audits/V4_ETERNAL_FINAL_AUDIT.md	review-before-moving
scripts/migrate_sqlite_to_pg.py	Data	schema-migration	none-found	review-before-moving
scripts/migration/connection_manager.py	Data	schema-migration	none-found	active
scripts/migration/data_validator.py	Data	schema-migration	none-found	active
scripts/migration/error_handler.py	Data	schema-migration	none-found	active
scripts/migration/etl_pipeline.py	Data	schema-migration	docs/TECH_DEBT_INVENTORY.md	active
scripts/migration/index_builder.py	Data	schema-migration	docs/TECH_DEBT_INVENTORY.md	active
scripts/migration/migration_utils.py	Data	schema-migration	none-found	active
scripts/migration/performance_monitor.py	Data	schema-migration	none-found	active
scripts/migration/validate_migration.py	Data	schema-migration	docs/TECH_DEBT_INVENTORY.md	active
scripts/phase7_preflight.py	Ops	ops-deploy	docs/DATA_INTAKE_PROTOCOL.md,docs/operations/PHASE7_WAVE3_TRIGGER_PROTOCOL.md,docs/operations/PHASE7_SOVEREIGN_ACTIVATION_RUNBOOK.md,docs/specs/SPRINT_PHASE2_2026-04-28.md,infrastructure/sovereign/disaster_recovery.sh	active
scripts/pre_tag_checklist.py	Quality	verification	docs/operations/PHASE7_SOVEREIGN_ACTIVATION_RUNBOOK.md	active
scripts/prewarm_acceptance_cache.py	Engineering	utility	docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md,docs/specs/DISPATCH_2026-04-28.md,.claude/memory/guru_violations.md	review-before-moving
scripts/prewarm_release_cache.py	Engineering	utility	docs/specs/CLOSURE_PLAN_2026-04-26.md,.claude/memory/references/grok-principal-engineer-2026-04-25.md	review-before-moving
scripts/qdrant_shard_config.py	Data/RAG	ingestion-vector	docs/audits/V4_ETERNAL_FINAL_AUDIT.md	active
scripts/quality_bar_scorecard.json	Engineering	utility	docs/audits/V4_ETERNAL_FINAL_AUDIT.md,docs/handover/evidence/02_load_report.md,docs/specs/MASTER_CLOSURE_2026-04-26.md,.github/workflows/cd.yml,.claude/quality-bar.md,.claude/memory/patterns/audit-reliability-check.md	active
scripts/quality_bar_scorecard.py	Engineering	utility	docs/specs/MASTER_CLOSURE_2026-04-26.md,docs/specs/DISPATCH_2026-04-28.md,docs/specs/NRG_EXECUTION_FLOW_RULE_HIERARCHY_2026-05-02.md,docs/audits/V4_ETERNAL_FINAL_AUDIT.md,docs/handover/ARCHITECTURE.md,docs/handover/evidence/02_load_report.md	review-before-moving
scripts/red_team_live_replay.py	Security/Ops	audit-security	README.md,docs/audits/NRG_FINAL_ETERNAL_AUDIT_2026-04-27.md,docs/specs/CLOSURE_PLAN_2026-04-26.md,docs/business/C3_external_auditor/AUDITOR_SOW_2026-04-28.md,docs/business/EXTERNAL_SECURITY_AUDIT_SOW_2026-04-27.md,docs/operations/PHASE7_SOVEREIGN_ACTIVATION_RUNBOOK.md	active
scripts/red_team_replay.sh	Security/Ops	audit-security	tests/scripts/test_red_team_replay_script.py	active
scripts/repair_qdrant_payloads.py	Data/RAG	ingestion-vector	.claude/CURRENT_STATE.md	active
scripts/rotate_jwt_secret.py	Security/Ops	audit-security	none-found	active
scripts/run_acceptance_verification.py	Engineering	utility	none-found	active
scripts/run_closure.sh	Ops	ops-deploy	docs/specs/MASTER_CLOSURE_2026-04-26.md	active
scripts/run_critical_path.sh	Ops	ops-deploy	docs/specs/CRITICAL_PATH_DISPATCH_FINAL_2026-04-28.md,docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md,tests/scripts/test_run_critical_path_contract.py	active
scripts/run_critical_path_final.sh	Ops	ops-deploy	docs/specs/NRG_ETERNAL_MASTER_AGENT_PROMPT.md,docs/specs/CRITICAL_PATH_DISPATCH_FINAL_2026-04-28.md,docs/specs/UI_UX_OVERHAUL_2026-04-28.md,tests/scripts/test_run_critical_path_contract.py,CORPUS/Core_Idea_Clean.md	active
scripts/run_final_external_gates.py	Ops	ops-deploy	docs/handover/evidence/02_load_report.md,docs/handover/EXTERNAL_FINAL_GATES_RUNBOOK.md,docs/handover/FINAL_CHECKLIST.md,.claude/CURRENT_STATE.md,.claude/quality-bar.md	active
scripts/run_load_test.py	Backend/Ops	performance-load	none-found	review-before-moving
scripts/run_test_suite.sh	Ops	ops-deploy	README.md,docs/specs/NRG_EXECUTION_FLOW_RULE_HIERARCHY_2026-05-02.md,docs/specs/MASTER_CLOSURE_2026-04-26.md,tests/conftest.py,.github/workflows/ci.yml,.claude/CURRENT_STATE.md	active
scripts/run_ui_ux_check.sh	Ops	ops-deploy	docs/specs/UI_UX_OVERHAUL_2026-04-28.md	active
scripts/runtime_image_scan_gate.py	Ops	ops-deploy	docs/specs/NRG_EXECUTION_FLOW_RULE_HIERARCHY_2026-05-02.md,.claude/CURRENT_STATE.md	active
scripts/scan_env_history_secrets.py	Security/Ops	audit-security	docs/security/ENV_HISTORY_SECRET_REMEDIATION_2026-05-02.md,.claude/CURRENT_STATE.md	active
scripts/schema_sync.py	Data	schema-migration	docs/DATA_INTAKE_PROTOCOL.md	active
scripts/security/harden_security_perimeter.sh	Ops	ops-deploy	docs/SECURITY_PERIMETER_GUIDE.md,docs/security/IITGN_CERTIFICATION.md	active
scripts/seed-data.sh	Data	seed-data	none-found	active
scripts/seed_acceptance_data.py	Data	seed-data	docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md	active
scripts/seed_acceptance_users.py	Data	seed-data	docs/specs/CRITICAL_PATH_DISPATCH_FINAL_2026-04-28.md,docs/specs/CRITICAL_PATH_DISPATCH_2026-04-28.md	active
scripts/seed_data.json	Data	seed-data	none-found	active
scripts/seed_database.py	Data	seed-data	docs/runbooks/agent3_data_report.md	active
scripts/seed_from_csvs.py	Data	seed-data	docs/DOCS_SYNC_ISSUES_2026-04-29.md,docs/handover/OPERATIONS_RUNBOOK.md,docs/operations/PHASE7_SOVEREIGN_ACTIVATION_RUNBOOK.md	active
scripts/seed_local_quality_fixtures.py	Data	seed-data	none-found	active
scripts/seed_production_data.py	Data	seed-data	docs/specs/DISPATCH_2026-04-28.md,docs/specs/MASTER_CLOSURE_2026-04-26.md,.claude/memory/guru_violations.md	review-before-moving
scripts/seed_production_initial_dataset.py	Data	seed-data	docs/specs/MASTER_CLOSURE_2026-04-26.md,.claude/memory/references/grok-principal-engineer-2026-04-25.md	active
scripts/seed_production_subset.py	Data	seed-data	none-found	active
scripts/seed_production_tables.py	Data	seed-data	docs/DOCS_SYNC_ISSUES_2026-04-29.md,docs/audits/V4_ETERNAL_FINAL_AUDIT.md,tests/data/test_schema_parity.py	active
scripts/seed_relations.py	Data	seed-data	tests/scripts/test_missing_script_modules.py	active
scripts/seed_release_data.py	Data	seed-data	README.md,docs/specs/CLOSURE_PLAN_2026-04-26.md,.claude/memory/references/grok-principal-engineer-2026-04-25.md	active
scripts/setup_llm.sh	Ops	ops-deploy	none-found	active
scripts/slo_report.py	Backend/Ops	performance-load	docs/PERFORMANCE_SLOS.md	active
scripts/start_local_llm.py	Engineering	utility	docs/handover/OPERATIONS_RUNBOOK.md,docs/INCIDENT_RESPONSE_PLAYBOOK.md	active
scripts/strategy/compile_final_docs.py	Documentation/Compliance	docs-compliance	none-found	active
scripts/strategy/validate_claims.py	Quality	verification	none-found	active
scripts/uat_run_session.py	Engineering	utility	docs/specs/MASTER_CLOSURE_2026-04-26.md,docs/specs/SPRINT_PHASE2_2026-04-28.md	active
scripts/validate_contracts.py	Quality	verification	.github/workflows/ci.yml,.claude/rules/contract_testing.md	active
